matchday	weekday	date	time	HT	AT	scoreHT	scoreAT	hScoreHT	hScoreAT
1	Fr	24.08.	20.40	BVB	BRE	2	1	1	0
1	Sa	25.08.	15.30	BMG	HOF	2	1	1	0
1	Sa	25.08.	15.30	SCF	M05	1	1	0	0
1	Sa	25.08.	15.30	FCA	FD	0	2	0	0
1	Sa	25.08.	15.30	HSV	FCN	0	1	0	0
1	Sa	25.08.	15.30	GF	FCB	0	3	0	1
1	Sa	25.08.	18.30	FFM	LEV	2	1	0	1
1	Sa	25.08.	20.45	VfB	WOB	0	1	0	0
1	So	26.08.	17.30	H96	S04	2	2	1	0
2	Fr	31.08.	20.30	M05	GF	0	1	0	0
2	Sa	01.09.	15.30	S04	FCA	3	1	1	0
2	Sa	01.09.	15.30	LEV	SCF	2	0	1	0
2	Sa	01.09.	15.30	BRE	HSV	2	0	0	0
2	Sa	01.09.	15.30	FCN	BVB	1	1	1	1
2	Sa	01.09.	15.30	HOF	FFM	0	4	0	2
2	Sa	01.09.	18.30	FD	BMG	0	0	0	0
2	So	02.09.	15.30	WOB	H96	0	4	0	2
2	So	02.09.	17.30	FCB	VfB	6	1	3	1
3	Fr	14.09.	20.30	FCA	WOB	0	0	0	0
3	Sa	15.09.	15.30	BVB	LEV	3	0	2	0
3	Sa	15.09.	15.30	FCB	M05	3	1	2	0
3	Sa	15.09.	15.30	BMG	FCN	2	3	1	2
3	Sa	15.09.	15.30	VfB	FD	0	0	0	0
3	Sa	15.09.	15.30	H96	BRE	3	2	2	1
3	Sa	15.09.	18.30	GF	S04	0	2	0	0
3	So	16.09.	15.30	SCF	HOF	5	3	2	1
3	So	16.09.	17.30	FFM	HSV	3	2	2	1
4	Fr	21.09.	20.30	FCN	FFM	1	2	0	1
4	Sa	22.09.	15.30	S04	FCB	0	2	0	0
4	Sa	22.09.	15.30	WOB	GF	1	1	1	1
4	Sa	22.09.	15.30	M05	FCA	2	0	2	0
4	Sa	22.09.	15.30	HSV	BVB	3	2	1	0
4	Sa	22.09.	15.30	FD	SCF	0	0	0	0
